movie_title,release_year,genre,rating,description,review,sentiment
The Shawshank Redemption,1994,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","An absolute masterpiece of cinema. The storytelling, acting, and message of hope are unmatched.",1
The Godfather,1972,"Crime, Drama",9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,The greatest crime movie ever made. Flawless acting by Marlon Brando and Al Pacino.,1
The Dark Knight,2008,"Action, Crime",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.","Ledger's Joker is legendary. A dark, intense, and brilliant comic book adaptation.",1
The Godfather Part II,1974,"Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","A rare sequel that matches, if not surpasses, the brilliant original masterpiece.",1
12 Angry Men,1957,"Crime, Drama",9.0,The jury in a New York City boy's mutiny trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence.,An incredible study of human psychology and tension inside a single room.,1
Schindler's List,1993,"Biography, Drama",9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution.","Heartbreaking, powerful, and essential viewing. Spielberg at his absolute best.",1
The Lord of the Rings: The Return of the King,2003,"Action, Adventure",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,The perfect conclusion to an epic trilogy. The battle scenes are breathtaking.,1
Pulp Fiction,1994,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Tarantino's dialogue is iconic and sharp. Completely changed modern cinema.,1
Inception,2010,"Action, Sci-Fi",8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Mind-bending visuals and a stunning, complex narrative. Absolutely gripping.",1
Fight Club,1999,Drama,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Edgy, thought-provoking, and features one of the greatest plot twists in film history.",1
Forrest Gump,1994,"Drama, Romance",8.8,The history of the United States from the 1950s to the 1970s unfolds from the perspective of an Alabama man with an IQ of 75.,"A beautiful, heartwarming journey through history with an unforgettable performance by Tom Hanks.",1
The Matrix,1999,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Groundbreaking special effects and philosophical themes that redefined the sci-fi genre.,1
Goodfellas,1990,"Biography, Crime",8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.","High energy, incredible soundtrack, and masterful direction by Martin Scorsese.",1
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies the patients against an oppressive nurse.","Jack Nicholson is electric. A profound, rebellious masterpiece against authoritarian control.",1
Seven,1995,"Crime, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Dark, atmospheric, and unforgettable. The ending leaves you completely shocked.",1
Interstellar,2014,"Adventure, Sci-Fi",8.6,"When Earth becomes uninhabitable, a team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival.",An emotional and visual masterpiece. Hans Zimmer's musical score is legendary.,1
The Silence of the Lambs,1991,"Crime, Drama",8.6,A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.,Anthony Hopkins gives a chilling performance. A masterful psychological thriller.,1
Saving Private Ryan,1998,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",The opening beach landing sequence is the most realistic and visceral war scene ever filmed.,1
Spirited Away,2001,"Animation, Adventure",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","A magical, visually spectacular anime that appeals deeply to both adults and kids.",1
The Green Mile,1999,"Crime, Drama",8.6,"A tale about the lives of guards on death row leading up to the execution of a giant man accused of child murder and rape, who has a mysterious gift.",A deeply emotional and spiritual film. It brings tears to my eyes every single time.,1
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda.",The ultimate Star Wars film. Richer character development and a legendary dark twist.,1
Parasite,2019,"Drama, Thriller",8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"A phenomenal social satire with brilliant pacing, dark humor, and unpredictable turns.",1
Whiplash,2014,"Drama, Music",8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing.,"Intense, thrilling, and displays an incredible clash of wills. The finale is stunning.",1
The Prestige,2006,"Drama, Mystery",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",A beautifully constructed puzzle box of a movie that demands multiple viewings.,1
The Lion King,1994,"Animation, Adventure",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",The pinnacle of Disney traditional animation. Beautiful songs and a timeless story.,1
Gladiator,2000,"Action, Adventure",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"An epic tale of vengeance and honor with a powerful, commanding performance by Russell Crowe.",1
The Departed,2006,"Biography, Crime",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,A stellar cast and razor-sharp direction make this an outstanding cat-and-mouse thriller.,1
The Pianist,2002,"Biography, Drama",8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto during World War II.,"A deeply moving, raw, and authentic portrayal of survival amidst historical horror.",1
Back to the Future,1985,"Adventure, Comedy",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, Doc Brown.","The perfect screenplay. Delightful, energetic, and infinitely rewatchable.",1
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",The benchmark for action cinema. Exceptional practical and digital visual effects.,1
Alien,1979,"Horror, Sci-Fi",8.5,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,A brilliant blend of sci-fi tech and claustrophobic horror. Truly terrifying.,1
Psycho,1960,"Horror, Mystery",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Hitchcock at his most devious. It redefined the horror and thriller genres forever.,1
Django Unchained,2012,"Drama, Western",8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Stylized, bold, highly entertaining, and packed with brilliant performances.",1
Spider-Man: Into the Spider-Verse,2018,"Animation, Action",8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat.,"The most visually creative animation style ever seen. Fresh, fun, and emotionally impactful.",1
Memento,2000,"Mystery, Thriller",8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Nolan's structural mastery tells the story backward to put you right in the protagonist's shoes.,1
Joker,2019,"Crime, Drama",8.4,The origins of a failed comic who turns to a life of crime and chaos in Gotham City.,"Joaquin Phoenix delivers an extraordinary, disturbing, and character-driven psychological study.",1
Your Name.,2016,"Animation, Drama",8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Stunningly gorgeous animation combined with an emotionally powerful, supernatural love story.",1
The Shining,1980,"Horror, Drama",8.4,A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence.,Kubrick's masterpiece of atmospheric horror. Every frame feels unnerving and deeply ominous.,1
Coco,2017,"Animation, Family",8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather.","A colorful, vibrant celebration of culture, family bonds, and remembrance.",1
WALL-E,2008,"Animation, Adventure",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Beautifully cinematic with an amazing first half that tells an emotional story without any dialogue.,1
Princess Mononoke,1997,"Animation, Adventure",8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony.","An epic, mature environmental fable with breathtaking world-building and rich themes.",1
Oldboy,2003,"Action, Drama",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","A dark, intense, and shocking thriller with one of the most brutal twist endings ever.",1
The Dark Knight Rises,2012,"Action, Thriller",8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from Bane.","An epic, satisfying conclusion to Nolan's trilogy with massive scale and high stakes.",1
Aliens,1986,"Action, Horror",8.4,"Decades after surviving an alien encounter, Ellen Ripley is sent back to the planet to establish contact with a terraforming colony.","A phenomenal shift from slow horror to intense, action-packed military sci-fi.",1
Once Upon a Time in America,1984,"Crime, Drama",8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he must confront the ghosts and regrets of his past.","An elegant, melancholic, and epic look at crime and friendship over several decades.",1
Amadeus,1984,"Biography, Drama",8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of his talent.","A lavish, energetic, and wonderfully theatrical examination of genius and jealousy.",1
Inglourious Basterds,2009,"Adventure, Drama",8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theater owner's vengeful plans.",Tarantino re-writes history with style. The opening farmhouse scene is pure masterclass suspense.,1
Good Will Hunting,1997,Drama,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",A deeply moving script with spectacular chemistry between Robin Williams and Matt Damon.,1
Requiem for a Dream,2000,Drama,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions control their lives.,"A devastating, visually frenetic, and hauntingly powerful look at the descent into addiction.",1
Toy Story 3,2010,"Animation, Adventure",8.3,The toys are mistakenly delivered to a day-care center rather than the attic right before Andy leaves for college.,"An incredibly mature, emotional conclusion for the generation that grew up with Andy.",1
Braveheart,1995,"Biography, Drama",8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"An epic historical drama packed with passion, memorable speeches, and visceral battlefields.",1
Reservoir Dogs,1992,"Crime, Thriller",8.3,"When a simple jewelry heist goes horribly wrong, the surviving thieves suspect that one of them is a police informant.","Raw, talkative, and intensely structural. It put Tarantino on the map as a visionary.",1
Star Wars: Episode IV - A New Hope,1977,"Action, Adventure",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station.",The space fantasy that changed the entertainment industry forever. Pure magical wonder.,1
Citizen Kane,1941,"Drama, Mystery",8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud'.","Revolutionary cinematography, lighting, and structure that set the standard for filmmaking.",1
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with the help of supercomputer H.A.L. 9000.","A hypnotic, deeply philosophical sci-fi monument that expands the mind.",1
Vertigo,1958,"Mystery, Romance",8.3,A former San Francisco police detective juggles his personal demons with his obsession for a hauntingly beautiful woman he is hired to tail.,"A brilliant, psychological dive into obsession and illusion with gorgeous color design.",1
The Hunt,2012,Drama,8.3,A teacher's lonely life Welles into a nightmare when he is wrongly accused of inappropriate behavior with a child.,A terrifyingly realistic look at how easily mass hysteria and rumors can destroy an innocent life.,1
Amélie,2001,"Comedy, Romance",8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Whimsical, charming, and visually unique. It fills the heart with pure joy.",1
A Beautiful Mind,2001,"Biography, Drama",8.2,"After John Nash, a brilliant mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","A highly engaging and respectful look at genius, schizophrenia, and enduring love.",1
The Truman Show,1998,"Comedy, Drama",8.2,An insurance salesman discovers his whole life is actually a reality TV show filmed by hidden cameras.,"Prophetic, existential, and deeply touching. Jim Carrey gives his finest dramatic performance.",1
Breaking Bad,2008,"Crime, Drama",9.5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,The greatest television show ever written. Perfect character development from start to end.,1
Band of Brothers,2001,"Biography, Drama",9.4,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",A flawless masterclass miniseries that honors the real soldiers with immense authenticity.,1
Chernobyl,2019,"Drama, History",9.4,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Terrifying, atmospheric, and highly gripping. A masterpiece detailing the high cost of lies.",1
The Wire,2002,"Crime, Drama",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Incredibly realistic social commentary. It feels less like a show and more like real life.,1
Game of Thrones,2011,"Action, Adventure",9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Despite the final seasons, the world-building, political intrigue, and scale were revolutionary.",1
The Sopranos,1999,"Crime, Drama",9.2,New Jersey mob boss Tony Soprano deals with personal and professional problems in his home and business life that affect his mental state.,The show that launched the golden age of television. James Gandolfini is unmatched.,1
Avatar: The Last Airbender,2005,"Animation, Action",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar.","Beautiful character arcs, deep philosophical lessons, and perfect pacing for all ages.",1
Sherlock,2010,"Crime, Drama",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Smart, snappy writing with electric dynamic chemistry between Cumberbatch and Freeman.",1
The Office,2005,Comedy,8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Hilarious, comforting, and full of characters that feel like your actual friends.",1
Better Call Saul,2015,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,A masterfully slow-burning character study that rivals the greatness of Breaking Bad.,1
Attack on Titan,2013,"Animation, Action",9.1,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans.","Mind-blowing plot twists, spectacular action sequences, and an intense, dark storyline.",1
Friends,1994,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,The ultimate comfort television show. Iconic jokes and comforting group dynamics.,1
Stranger Things,2016,"Drama, Horror",8.7,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","A wonderful, nostalgic throw-back to 80s sci-fi and adventure films with great heart.",1
Fargo,2014,"Crime, Drama",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Quirky, dark, highly violent, and brilliantly written crime anthology series.",1
True Detective,2014,"Crime, Drama",8.9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",Season 1 is arguably the finest single season of television ever broadcast. True poetry.,1
Succession,2018,Drama,8.9,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down.","Shakespearian family drama mixed with sharp, brutal, and hilarious corporate dialogue.",1
The Mandalorian,2019,"Action, Adventure",8.7,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",It captured the classic Star Wars magic completely. Grogu and Mando are an iconic duo.,1
Mindhunter,2017,"Crime, Drama",8.6,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and awkwardly getting close to all too real monsters.,Fincher's meticulous direction creates an intensely chilling look at serial killer profiling.,1
Dark,2017,"Crime, Drama",8.7,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",The most tightly written time-travel plot ever structured. It fits together flawlessly.,1
Peaky Blinders,2013,"Crime, Drama",8.8,"A gangster family epic set in 1900s Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Incredibly stylish cinematography, cool rock soundtracks, and a stellar Cillian Murphy.",1
The Last Airbender,2010,"Action, Adventure",4.0,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation.",Terrible adaptation. The acting was completely lifeless and butchered the masterpiece source material.,0
Dragonball Evolution,2009,"Action, Fantasy",2.5,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs.","A complete insult to the franchise and the fans. Horrible choreography, awful visual effects.",0
Batman & Robin,1997,"Action, Sci-Fi",3.7,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,"Cringey ice puns, cheesy over-the-top acting, and silly costumes ruined this entirely.",0
Catwoman,2004,"Action, Crime",3.4,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero.","Awful storyline, terrible CGI, and a completely boring mess of an action movie.",0
The Room,2003,Drama,3.6,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, she inexplicably gets bored of him.",An absolute disaster of a script. The acting makes zero sense. Hilariously terrible.,0
Sharknado,2013,"Action, Horror",3.3,"When a freak hurricane swamps Los Angeles, nature's deadliest killer rules the sea, land, and air as thousands of sharks terrorize the waterlogged city.","Ridiculous plot, laughably bad practical effects, and terrible acting from start to finish.",0
Epic Movie,2007,Comedy,2.4,"A satirical comedy that parodies various Hollywood blockbusters, tracking four orphans through a mystical chocolate factory.","Completely unfunny, lazy references, and a brainless waste of time. Do not watch.",0
Disaster Movie,2008,Comedy,2.1,"Over the course of a fateful night, a group of ridiculously attractive twenty-somethings must dodge various global threats.",Arguably one of the worst pieces of media ever put on film. Utterly agonizing trash.,0
Jack and Jill,2011,Comedy,3.3,Family guy Jack Sadelstein's life is turned upside down when his passive-aggressive twin sister Jill comes to visit.,"Lazy, cheap gags and a completely uninspired script that wastes its high budget.",0
The Mummy,2017,"Action, Adventure",5.4,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia.","A boring, generic franchise starter with no real scares, charm, or narrative coherence.",0
Jaws: The Revenge,1987,"Adventure, Horror",3.0,Chief Brody's widow believes that a great white shark is deliberately hunting her family members across the ocean.,Stupid plot premise and a terrible mechanical shark that lacks any suspense or terror.,0
Son of the Mask,2005,"Comedy, Family",2.2,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki.","A creepy, unfunny sequel that completely ruins the energetic charm of Jim Carrey's original.",0
Alone in the Dark,2005,"Horror, Sci-Fi",2.4,A paranormal investigator uncovers a terrifying secret portal leading to an ancient underworld hidden in the dark.,"Incoherent editing, zero scary atmosphere, and widely considered a total failure.",0
Battlefield Earth,2000,"Action, Sci-Fi",2.5,"In the year 3000, humanity has been conquered by an alien race known as the Psychlos. A rebellious human decides to fight back.","Terrible dialogue, ugly camera angles, and over-the-top acting make this painful to witness.",0
Gigli,2003,"Comedy, Crime",2.6,Larry Gigli is ordered to kidnap the psychologically challenged younger brother of a powerful federal prosecutor.,"Zero chemistry, an embarrassing script, and a thoroughly unwatchable romantic comedy.",0
Superman IV: The Quest for Peace,1987,"Action, Sci-Fi",3.7,"Superman crusades for nuclear disarmament and must square off against Lex Luthor's latest creation, Nuclear Man.",Cheap special effects and a messy storyline that completely grounded the legendary hero.,0
Left Behind,2014,"Action, Thriller",3.1,A small group of survivors are left behind after millions of people suddenly vanish from the surface of the Earth.,"Dull pacing, preachy tone, and a complete waste of Nicolas Cage's acting talent.",0
BloodRayne,2005,"Action, Fantasy",3.0,"In the eighteenth century, a half-human, half-vampire warrior escapes a freak show and sets out to kill her father.","Terrible action sequences, atrocious script edits, and absolutely wooden line deliveries.",0
The Emoji Movie,2017,"Animation, Comedy",3.4,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji like his parents.","A shameless, corporate product placement disguised as a shallow and unfunny film.",0
Fifty Shades of Grey,2015,"Drama, Romance",4.2,"Literature student Anastasia Steele's life changes forever when she meets the handsome, yet tormented, billionaire Christian Grey.","Terrible narrative chemistry, boring execution, and an incredibly dull screenplay.",0
